"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"TrapType     ",1,0.0496409625790639,0.0496409625790639,1.82044629137272,0.177363881856937
"Site         ",18,8.43421248840065,0.468567360466703,17.1834241179615,5.36775397682567e-52
"GateCode     ",5,0.419181834971954,0.0838363669943907,3.07446905635686,0.00900356766984252
"TrapType:Site",18,0.985843670859476,0.0547690928255265,2.00850641760376,0.00699287700830732
"Residuals    ",2945,80.3059312917745,0.0272685675014515,NA,NA
