"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"TrapType   ",1,0.0190851280725792,0.0190851280725792,0.798984529031588,0.37750271217421
"Site       ",18,4.25108972397559,0.236171651331977,9.88714851126444,6.37838675118832e-09
"Residuals  ",35,0.836035565481972,0.0238867304423421,NA,NA
