"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"1","IntBlock",44,2071.40923940866,0,1,0.999563907371699,-991.031836829712,0.999563907371699
"2","Int",39,2086.88367881382,15.4744394051568,0.000436282886579971,0.00043609262682928,-1003.91266708669,0.999999999998528
"4","GateCode",26,2125.89776309135,54.4885236826949,1.47220205215788e-12,1.47156003569556e-12,-1036.71179947881,1
"3","NonInt",21,2160.65716722554,89.2479278168812,4.1692574542953e-20,4.16743927185399e-20,-1059.17281827224,1
