"","Gated Trap Concentration (100g^-1)","±SE","Traditional Trap Concentration (100g^-1)","±SE","GLMM Estimate","±SE","Pr(>|z|)"
"Calcium (mg)",7.51712336478093,0.177055305261646,7.20315350450474,0.169137391548148,-0.0577589760864845,0.272142764022025,0.831921533850922
"Iron (mg)",0.14294075472066,0.00337240777698353,0.12785359181088,0.00275533386312274,-0.00724081665403595,0.00491853052205426,0.140980269156749
"Omega-3 (g)",0.0382364070063461,0.000890157968483428,0.0347405160361764,0.000749881413136561,-0.00138013175614245,0.00131195731194911,0.29281610362075
"Vitamin A (µg)",9.39347331070529,0.40707635138698,8.87939056272542,0.35380419493883,-2.40321138260965,0.605243637909327,7.16764479746328e-05
"Selenium (µg)",5.78226498165269,0.151034041557961,5.81292107163689,0.138691814368596,-0.824016996992465,0.212997860147621,0.000109433650080988
"Zinc (mg)",0.293508774097999,0.00722593504659326,0.261318483066297,0.00599961373234314,-0.0228498140216404,0.0106315587480682,0.0316150617852881
