"","Recommended Daily Intake (child 1-3 years)","Gated Trap Yield (trap^-1)","±SE","Traditional Trap Yield (trap^-1)","±SE","GLMM Estimate","±SE","Pr(>|z|)"
"Calcium (mg)",700,286.993699448162,11.1986748197402,214.792948412038,8.15346697790788,-147.252582853259,12.6291175480297,2.04598688422673e-31
"Iron (mg)",7,5.3583623409231,0.211999496206998,3.96253303606103,0.156826196619032,-2.66493439430245,0.250138164070266,1.67300157217395e-26
"Omega-3 (g)",0.7,1.40809587995296,0.051270067643886,1.06270554532452,0.0413373048816633,-0.66159380345478,0.0607897329948896,1.38435296524984e-27
"Vitamin A (µg)",300,456.359662123289,32.4477301227825,254.617403738274,15.6165227411007,-201.742975561876,37.2125441861736,5.9143956883764e-08
"Selenium (µg)",20,267.879847571243,12.9657491081938,166.208596329279,6.90503462344296,-199.702112957283,13.5451672299047,3.39156078805267e-49
"Zinc (mg)",3,11.5227385850595,0.504268629183282,7.9738168077337,0.319944068479665,-6.53924795021233,0.581287122579516,2.3264317901068e-29
