"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"1","IntBlock",30,3834.3744240604,0,1,1,-1886.60813357441,1
"2","Int",26,4041.16569476706,206.791270706651,1.24694159775952e-45,1.24694159775952e-45,-1994.18556385212,1
"4","GateCode",18,4043.63778131946,209.263357259057,3.62275812313353e-46,3.62275812313353e-46,-2003.60751859545,1
"3","NonInt",15,4344.0572368202,509.682812759797,2.10757699164109e-111,2.10757699164109e-111,-2156.89363528299,1
