"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"TrapType     ",1,96.5752185634569,96.5752185634569,161.639265726872,2.34638359325836e-35
"Site         ",12,745.720213431861,62.1433511193218,104.010177705518,1.17630817010737e-190
"GateCode     ",4,23.1906978991299,5.79767447478247,9.70364715676521,9.36648294186755e-08
"TrapType:Site",11,147.629511391891,13.4208646719901,22.4626849751811,3.35928323439835e-43
"Residuals    ",1608,960.737793207023,0.597473751994418,NA,NA
