"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"1","IntBlock",45,157261.695391517,0,1,1,-78585.7608851066,1
"4","GateCode",26,158309.059631458,1047.36423994057,3.69611117210481e-228,3.69611117210481e-228,-79128.5003990344,1
"2","Int",39,168604.543645554,11342.8482540367,0,0,-84263.211235547,1
"3","NonInt",21,169813.232572868,12551.5371813502,0,0,-84885.5983558276,1
