"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"1","IntBlock",44,1925.34042135827,0,1,0.999910327560174,-917.997427804515,0.999910327560174
"2","Int",39,1943.97893628204,18.6385149237763,8.96804768578296e-05,8.9672434990665e-05,-932.460295820804,0.999999999995165
"4","GateCode",26,1977.45044404777,52.1100226895082,4.83562202537996e-12,4.83518840335486e-12,-962.488139957018,1
"3","NonInt",21,2019.71325067977,94.3728293215049,3.21514446744758e-21,3.21485615759879e-21,-988.700859999359,1
