Family,Price_KSHPerkg
Lutjanidae,200
Lethrinidae,200
Siganidae,200
Serranidae,200
Acanthuridae,120
Scaridae,120
Balistidae,160
Haemulidae,160
Labridae,160
Mullidae,160
Pomacanthidae,160
Rajiidae,160
Chaetodontidae,80
Monacanthidae,80
Pomacentridae,80
Ostraciidae,0
Diodontidae,0
Triodontidae,0
Synanceiidae,0
Tetraodontidae,0
