"","Site","p.value"
"2","Bamburi",0.00265084431176005
"3","Nyali",0.251141377316058
"4","Vanga",2.6575432706366e-18
"5","Jimbo",0.573930309382545
"6","Mkunguni",0.711348425097602
"7","Munje",3.10771068384876e-23
"8","Mwandamo",0.010201256704953
"9","Mwaepe",0.00115128032549307
"10","Mayungu",2.93645474493746e-11
"11","Mwaembe",0.75664944085898
"12","Tiwi",0.086460558091572
"13","Mtwapa",0.29110120589754
