"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"1","IntBlock",30,26450.3652074479,0,1,1,-13194.6035252682,1
"4","GateCode",18,26659.628564707,209.263357259064,3.62275812312118e-46,3.62275812312118e-46,-13311.6029102892,1
"2","Int",26,28826.191635755,2375.82642830704,0,0,-14386.6985343461,1
"3","NonInt",15,29129.0831778081,2678.71797036019,0,0,-14549.4066057769,1
