"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"TrapType     ",1,96575218.5634574,96575218.5634574,161.639265726873,2.34638359325765e-35
"Site         ",12,745720213.431864,62143351.119322,104.010177705518,1.17630817010577e-190
"GateCode     ",4,23190697.8991299,5797674.47478248,9.70364715676522,9.36648294186735e-08
"TrapType:Site",11,147629511.391891,13420864.6719901,22.4626849751811,3.35928323439937e-43
"Residuals    ",1608,960737793.207024,597473.751994418,NA,NA
